,drug_name,date,age,gender,time_on_drug,reviewer_type,condition,rating_overall,rating_effectiveness,rating_ease_of_use,rating_satisfaction,text
0,Diphenhist Oral,11/13/2012,0-2,Female,less than 1 month,Patient,Cough,4.0,4,4,4,
1,Diphenhist Oral,7/30/2012,55-64,Male,1 to 6 months,Patient,Itching,1.7,1,3,1,ineffective--does nothing
2,Diphenhist Oral,9/16/2010,35-44,Female,less than 1 month,Caregiver,Other,1.0,1,1,1,"the doctor prescribe this for my 2 year old daughter for a rash and she had a severe allergic reaction causing her to have a seizure, vomit & irritable........."
3,Diphenhist Oral,10/12/2007,25-34,Female,less than 1 month,Caregiver,Cough,3.7,4,3,4,my daughter had croup and so her vocal cords were swollen and she took it and it helped her breath better
4,Wal-Som (diphenhydramine) Oral,12/21/2015,13-18,,less than 1 month,Patient,Chronic Trouble Sleeping,5.0,5,5,5,This medicine is great I'm 18 years old and I have been prescribed every sleeping pill and they do not work such as ambien and trazodone may have not spelled that right . I take 2 at night and it helps me fall asleep after about 30-40 mins . I wake up feeling so rested it gives me the best night sleep . I take 2 because I'm a bigger woman ( 240 lbs ) I need a little extra. Not everybody should take 2 . I take every night not sure if that's a good idea I will ask my doctor but I really like this medication and I'm glad I found it ! Nothing else works Read More Read Less  
5,Wal-Som (diphenhydramine) Oral,9/23/2014,65-74,Female,10 years or more,Patient,Chronic Trouble Sleeping,3.7,3,5,3,"I have taken Walsom for at least 20 years. I can't fall asleep without it,  however, one pill no longer works. I now take two every night, and many nights I still have problems sleeping. Prescription sleeping meds have never worked for me. Overall, I am very thankful for Walsom."
6,Wal-Som (diphenhydramine) Oral,8/26/2013,19-24,Female,1 to 6 months,Patient,Chronic Trouble Sleeping,5.0,5,5,5,"This works better than ANY sleeping pill I have ever taken. And I've had prescription sleeping pills before (such as Ambien)and this works even better than those, and I only take HALF! Only use when I'm having trouble sleeping, a few times a month"
7,Wal-Som (diphenhydramine) Oral,4/25/2013,65-74,Female,1 to 6 months,Patient,Chronic Trouble Sleeping,5.0,5,5,5,"When I first used it, I took a whole tablet, slept very well but was quite drowsy the next day. Now, when I can't sleep, I take half, sleep wonderfully, and feel great the next day."
8,Wal-Som (diphenhydramine) Oral,5/16/2012,45-54,Female,2 to less than 5 years,Patient,Other,5.0,5,5,5,"Fantastic, helps me sleep. I live in the UK and buy in USA , really no side affects .cwoudl highly recommend ."
9,Wal-Som (diphenhydramine) Oral,4/9/2011,35-44,Female,1 to 6 months,Patient,Chronic Trouble Sleeping,5.0,5,5,5,Just one small sound (door unlocking) and I would wake up and won't be able to go back to sleep until after another 3 hours. Whenever I have to be up very early in the morning and need all the rest I can get - I pop one of this and I feel well and rested the following morning.
10,Wal-Som (diphenhydramine) Oral,3/26/2011,19-24,Male,1 to 6 months,Patient,Chronic Trouble Sleeping,5.0,5,5,5,cheap and works good for sleeping.
11,Wal-Som (diphenhydramine) Oral,10/31/2010,19-24,Male,less than 1 month,Patient,Chronic Trouble Sleeping,5.0,5,5,5,I love it i can actually sleep now wow! Highly recommended
12,Wal-Som (diphenhydramine) Oral,3/3/2010,35-44,Female,less than 1 month,Patient,Chronic Trouble Sleeping,5.0,5,5,5,I had trouble sleeping for months walsom help me sleep and stay asleep all night.  Highly recommended
13,Wal-Som (diphenhydramine) Oral,1/19/2010,13-18,Female,1 to 6 months,Patient,Chronic Trouble Sleeping,2.3,1,5,1,"VERY BAD SORE THROAT!  it feels like sand paper rubbing against the back of my throat when I wake up. It also leaves me extremely drowsy, thus making every day activities harder to preform."
14,Wal-Som (diphenhydramine) Oral,12/11/2008,45-54,Male,less than 1 month,Patient,Other,3.3,2,5,3,TERRIBLE SORE THROAT
15,Severe Allergy Oral,4/28/2010,35-44,Female,5 to less than 10 years,Patient,Other,5.0,5,5,5,"I have always had a lot of problems with allergies, since I have discovered this Walgreens brand medication I have been able to control my allergy systems. Its Suppose to be the same as the Tylenol brand, however the Walgreens brand works much better than the Tylenol brand."
16,Tekral Oral,1/12/2014,45-54,Female,2 to less than 5 years,Patient,Other,5.0,5,5,5,I was upset when my pharmacist no longer sold this medicine. It was the only thing that helped my sinuses. It worked well for me but I could only take a half of the pill because I have a low tolerance for medicine and it made me extremely drowsy. 
17,Tekral Oral,2/27/2012,55-64,Female,2 to less than 5 years,Patient,Inflammation of the Nose due to an Allergy,5.0,5,5,5,25 years of chronic allergies in Florida-have become immune to most medications-tekral is the only one that works-a miracle for me as I get REALLY sick and stay bedridden without it-now pharmacy cannot get it any more-don't know what I'm going to do
18,Tekral Oral,2/8/2012,45-54,Female,1 to 6 months,Patient,Non,5.0,5,5,5,"I finaaly found something that works on my 24/7 running nose now I can't get it anywhere. Publix doesn't carry iy, Walgreens doesn't take my insurance (BCBS) and CVS also doesn't carry it.  Does anyone no where to get it?"
19,Tekral Oral,1/16/2011,35-44,Male,6 months to less than 1 year,Patient,Non,5.0,5,5,5,"This is a miracle drug. If I take it at the firt sign of a post nasal drip or sniffle, I am clear with in 30 minutes. I then remain clear for more than a day. I could not make it through spring and summer in Texas without it."
20,Tekral Oral,8/19/2010,45-54,Female,less than 1 month,Patient,Inflammation of the Nose due to an Allergy,1.3,1,2,1,the dry mouth was a big problem as i couldnt drink enough water. but the blurry vision and dizziness was the worst.  I've taken this as directed for about 3 weeks now and just today had the vision/dizzy stuff.  I am feeling out of sorts and weak as a result.
21,Tekral Oral,6/22/2010,35-44,Female,1 to 6 months,Patient,Other,5.0,5,5,5,My allergies are really bad.This is the only medicine worked on my allergies. I thanked my doctor after the first night i slept all night.   
22,Tekral Oral,4/26/2010,55-64,Female,,Patient,Stuffy Nose,1.0,1,1,1,"I took this pill once and will never use it again. I could not sleep, felt odd/anxious, and had shaky hands.  "
23,Tekral Oral,4/7/2010,55-64,Female,less than 1 month,Patient,Non,5.0,5,5,5,I have chronic hayfever that escalates during the spring. Usually I have to miss days at work.  Nothing over the counter brings relief like Tekral for me.  I am grateful that my doctor prescribed this. I have used it for 2 days now and feel great! The doctor also prescribed Omnaris 2x daily along with this.  It is a winning formula for me.
24,Tekral Oral,3/15/2010,45-54,Female,less than 1 month,Patient,Cold Symptoms,1.7,3,1,1,"This stuff made me so shaky I could hardly function.  In addition, I was unable to sleep when taken in the dosage prescribed."
25,Tekral Oral,2/16/2010,25-34,Female,less than 1 month,Patient,Stuffy Nose,3.7,3,4,4,"It was slow to work, had to take it for a few days before I was able to feel any relief"
