,drug_name,date,age,gender,time_on_drug,reviewer_type,condition,rating_overall,rating_effectiveness,rating_ease_of_use,rating_satisfaction,text
0,Humalog U-100 Insulin Subcutaneous,3/24/2021,65-74,Male,,Patient,Type 2 Diabetes Mellitus,1.0,1,1,1,"Humalog KwikPern 200 unit insulin products have been defective for years and continue being defective. Since too much or too little fast-acting Insulin can cause death, this is a very serious matter; this is over and above the huge financial loss incurred by unsuspecting patients at your retail price of over $1,000 per two pens.    Over several years, at least half of the dispensed medications have been defective and results in too little or too much insulin injected into me.     The gearing mechanism in those devices that converts the     Manufacturer Lilly's phone line connects hapless patients to a labyrinth of submenus of byzantine complexity that it is useless, possibly by design.Read More Read Less  "
1,Humalog U-100 Insulin Subcutaneous,5/11/2019,,,1 to 6 months,Patient,Type 2 Diabetes Mellitus,2.3,3,3,1,"The Humalog pen is really hard to use for people with arthritis in their hands. The button is difficult to push enough to get the right amount. I have bruised myself trying to push it enough to get the correct dose. It doesn't click for the units, so you have to take the pen out, only to discover, it didn't deliver it all, so you have to repeat to get the correct dosage. "
2,Humalog U-100 Insulin Subcutaneous,6/17/2017,45-54,Male,10 years or more,Patient,Type 1 Diabetes Mellitus,2.3,1,5,1,"I have reson to believe that Humalog insulin is being created to work less effectively than other types of ""R"" insulin.  The amount of insulin that is required to drop my insulin 100 pts in blood glucose is nearly 10.  I think there's a game being played by the manufacturer ...  "
3,Humalog U-100 Insulin Subcutaneous,4/26/2017,13-18,Female,1 to 6 months,Patient,Type 1 Diabetes Mellitus,1.7,2,1,2,The pen sticks making it short and causes highs. My daughter's numbers are suffering and has been hospitalized. My insurance is forcing us to use this and not what works for my child. 
4,Humalog U-100 Insulin Subcutaneous,2/9/2014,45-54,Male,,Patient,Type 1 Diabetes Mellitus,2.0,1,4,1,"Get sick from Humalog.  Within a day start to feel sick to stomach then two days start having headaches.  Old insulins (beef/pork) worked so much better too.  Apedra works much better than Humalog but it is not ""formulary"".  Now with new insurer (Blue Cross MN) they require a two week review before I can get the med.  What?  Two weeks before a pharmacy can give a diabetic insulin.  Really?"
5,Humalog U-100 Insulin Subcutaneous,2/4/2014,65-74,Male,5 to less than 10 years,Patient,Diabetes,5.0,5,5,5,This has worked very good for me. I use it in a pump and can get 3 days without a change. I was on pills and then went to the pens. When they didn't do the job i went with a lower strength insulin with the pump. Now I use the U500 and it works great. If you can when you start injecting insulin with a syringe get the pump if you can.
6,Humalog U-100 Insulin Subcutaneous,11/20/2013,,Male,1 to 6 months,Patient,Diabetes,3.0,3,3,3,wondering if there are any side effects to users?
7,Humalog U-100 Insulin Subcutaneous,8/31/2013,55-64,,10 years or more,Patient,Type 2 Diabetes Mellitus,4.0,4,4,4,"Humalog is a very good drug to control high blood sugar when used correctly.In my case, I rely on it to counteract overeating sweets, a mistake on my part."
8,Humalog U-100 Insulin Subcutaneous,2/17/2013,25-34,Female,1 to less than 2 years,Patient,Type 1 Diabetes Mellitus,2.0,2,3,1,"Have been type one since for 21 years, a pumper since 2010 with Novalog. Got laid off in 2011 and had to have bad insurance assistance that only covered Humalog. I had blurred vision after every bolus with normal BS for hours, nauseated, rapid heartbeat, dizziness, hard to breathe, fatigued, huge raw rash all over my shoulders, lost hair in huge amounts, thought I had cancer. Was not as effective as Novalog so I went into DKA twice in 3 months. Got good insurance so got my Novalog back. Will never take Humalog again. Read More Read Less  "
9,Humalog U-100 Insulin Subcutaneous,1/18/2013,45-54,Male,1 to less than 2 years,Patient,Type 2 Diabetes Mellitus,5.0,5,5,5,"Found out late in life that I was a diabetic, started out with Metformin and then quickly moved to pen form insulin. I hated having to do the four times a day shots along with six times a day finger pricks. My doctor suggested I think about using an insulin pump. I went to the required classes for the pump and got it. It is the best thing that has ever happened to me. I use about 200 units of humalog every other day. The average hourly dose is around 2.65 units. All I have to keep up with now is watching what I eat, and about twice a day finger sticks. Read More Read Less  "
10,Humalog U-100 Insulin Subcutaneous,1/8/2013,25-34,Male,10 years or more,Patient,Type 1 Diabetes Mellitus,4.7,5,4,5,
11,Humalog U-100 Insulin Subcutaneous,12/18/2012,65-74,Male,2 to less than 5 years,Patient,Diabetes,5.0,5,5,5,"I test my blood sugar before or after eating, and before bed. I often eat very little after breakfast until suppertime. I take Humalog only. I was taking Lantus, but it was not going to be covered by my Part D and I could not afford it on my own. I did not notice any difference in my glucose or my A1c. "
12,Humalog U-100 Insulin Subcutaneous,8/28/2012,65-74,Female,10 years or more,Patient,Diabetes,3.7,5,2,4,I've noticed that the bladder used in the Humalog vial is very thick.  I have bent several needles trying to insert them into the vial.  Can't find an answer anywhere.  Hope someone has an answer for me. 
13,Humalog U-100 Insulin Subcutaneous,8/22/2012,55-64,Male,,Patient,Diabetes,2.3,3,1,3,sometimes can't ever inject enough even though eating habits haven't changed from when I don't use nearly as much.
14,Humalog U-100 Insulin Subcutaneous,3/4/2012,35-44,Female,1 to 6 months,Patient,High Blood Sugar,5.0,5,5,5,I am finding that my sugar levels have dropped greatly. I couldn't keep them under 200 and now my average is 120s. this has been a life saver for me.
15,Humalog U-100 Insulin Subcutaneous,4/23/2011,35-44,Male,2 to less than 5 years,Patient,Type 2 Diabetes Mellitus,5.0,5,5,5,
16,Humalog U-100 Insulin Subcutaneous,4/22/2011,65-74,Male,less than 1 month,Patient,Type 2 Diabetes Mellitus,1.3,1,2,1,"Eyes!  It's the eyes!  Metformin blinded me--distorted view, severe photophobia.  Glipizide did the same, with the addition of angina. Dropped those for a couple months. Eyes still not so good, but better than with Metformin or Glipizide.  Now Humalog, 1 unit, under 200,0r 2 units over 200, with meals. One week later I'm having a hard time even reading this enlarged print. Safe dariving speed on open highway is 40mph or less. Eyes can't respond to light changes, everything in sunlight all washed out, sky white. These drugs lowered my blood sugar but this is one hell of a high price to pay for it.  I keep looking on the net for reference to these eye problems and can't find anything except ""blurry vision"" once in awhile.  Before these drugs, with my high blood sugar, I could see, with corrected lenses, perfectly.  Had trifocals, and don't like those, but they worked.  Now, they're useless and I have to use 2X reading glasses to read anything.  TV pictures dim, without detail unless I'm right up on the screen.  What the heck is this all about?  Am I the only person having this kind of trouble.  No help from doctors.  Opthalmologists just want to laser my eyes or inject experimental drugs.  What a way to go....Read More Read Less  "
17,Humalog U-100 Insulin Subcutaneous,10/4/2010,35-44,Female,1 to less than 2 years,,Type 1 Diabetes Mellitus,5.0,5,5,5,"Humalog works far better than my previous R insulin because it works more quickly. With R, I would inject just before a meal but would get post parandial highs that gave me a headache. It took 2.5 to 3 hours for R to start working. With Humalog, onset almost always cooincides with digestion so I get a better experience. I also end up with far fewer episodes of low blood sugar on Humalog than with R. My A1C has been in the low 6's since I started with Humalog where they had been in the low 7's with R. Read More Read Less  "
18,Humalog U-100 Insulin Subcutaneous,8/1/2010,45-54,Male,less than 1 month,Patient,Type 2 Diabetes Mellitus,5.0,5,5,5,"I use Humalog as a 'correction' medication.  Basically this means when my blood sugars are higher than usual, I bolus the dosage to bring levels back down.    My first time using it was last night when my 2 hour postprandial blood sugars jumped to 279. Within an hour after taking a shot, I dropped to 78. An hour and a half after that I was at 74.    I am EXTREMELY impressed as to how good this works for me. Only needed 3 units too.    Don't care for the 12mm needle. Will try the 8mm needle next time I am higher than usual.    I am hoping that between my diet and exercise, coupled with the Humalog, I can get even better blood sugars.    My last A1c about a week ago was 5.3, and that was with several spikes into the 200+ range, using diet and exercise alone. My goal is under 5.0 (4% club).    With this medication, I can vary my diet so it's not so boring, and not be forced to vigorously exercise as much to bring down blood sugars.    I am wondering something though:  Will I gain weight? Lose weight? Or maintain my weight when using any form of insulin?    Don't get me wrong. I am not opposed to 'paying the piper' (AKA exercising) after I eat. I have a lot of trouble fitting the needed time in to do it, and an even harder time getting back down to normal after a 200+ spike, using diet and exercise.    I generally have no trouble lowering my BS if I am 160-180 range, or less.    My fasting blood sugars are usually perfectly normal.    I can see some semblance of a life now that I have this medication. I won't do pills for my diabetes treatment as my blood sugars are usually well controlled. Seems heat & humidity (or a nap after eating) spikes me highly.    I really hope & pray that the endo will continue letting me have this medication.    I like it better than Humulin R which is slower.     Maybe get Humulin R for long digesting carbs like Dreamfields, and Humalog for the 'eat-N-go' carbs.    I'm not one to want meds of any kind, but this one really works for me!Read More Read Less  "
19,Humalog U-100 Insulin Subcutaneous,6/16/2010,25-34,Female,6 months to less than 1 year,Patient,Type 1 Diabetes Mellitus,4.3,5,5,3,It works too fast at times like another person said before and sometimes i'm then treating a low!! but overall if taken at the right time it works awesome!!
20,Humalog U-100 Insulin Subcutaneous,3/24/2021,65-74,Male,,Patient,Type 2 Diabetes Mellitus,1.0,1,1,1,"Humalog KwikPern 200 unit insulin products have been defective for years and continue being defective. Since too much or too little fast-acting Insulin can cause death, this is a very serious matter; this is over and above the huge financial loss incurred by unsuspecting patients at your retail price of over $1,000 per two pens.    Over several years, at least half of the dispensed medications have been defective and results in too little or too much insulin injected into me.     The gearing mechanism in those devices that converts the     Manufacturer Lilly's phone line connects hapless patients to a labyrinth of submenus of byzantine complexity that it is useless, possibly by design.Read More Read Less  "
21,Humalog U-100 Insulin Subcutaneous,5/11/2019,,,1 to 6 months,Patient,Type 2 Diabetes Mellitus,2.3,3,3,1,"The Humalog pen is really hard to use for people with arthritis in their hands. The button is difficult to push enough to get the right amount. I have bruised myself trying to push it enough to get the correct dose. It doesn't click for the units, so you have to take the pen out, only to discover, it didn't deliver it all, so you have to repeat to get the correct dosage. "
22,Humalog U-100 Insulin Subcutaneous,6/17/2017,45-54,Male,10 years or more,Patient,Type 1 Diabetes Mellitus,2.3,1,5,1,"I have reson to believe that Humalog insulin is being created to work less effectively than other types of ""R"" insulin.  The amount of insulin that is required to drop my insulin 100 pts in blood glucose is nearly 10.  I think there's a game being played by the manufacturer ...  "
23,Humalog U-100 Insulin Subcutaneous,4/26/2017,13-18,Female,1 to 6 months,Patient,Type 1 Diabetes Mellitus,1.7,2,1,2,The pen sticks making it short and causes highs. My daughter's numbers are suffering and has been hospitalized. My insurance is forcing us to use this and not what works for my child. 
24,Humalog U-100 Insulin Subcutaneous,2/9/2014,45-54,Male,,Patient,Type 1 Diabetes Mellitus,2.0,1,4,1,"Get sick from Humalog.  Within a day start to feel sick to stomach then two days start having headaches.  Old insulins (beef/pork) worked so much better too.  Apedra works much better than Humalog but it is not ""formulary"".  Now with new insurer (Blue Cross MN) they require a two week review before I can get the med.  What?  Two weeks before a pharmacy can give a diabetic insulin.  Really?"
25,Humalog U-100 Insulin Subcutaneous,2/4/2014,65-74,Male,5 to less than 10 years,Patient,Diabetes,5.0,5,5,5,This has worked very good for me. I use it in a pump and can get 3 days without a change. I was on pills and then went to the pens. When they didn't do the job i went with a lower strength insulin with the pump. Now I use the U500 and it works great. If you can when you start injecting insulin with a syringe get the pump if you can.
26,Humalog U-100 Insulin Subcutaneous,11/20/2013,,Male,1 to 6 months,Patient,Diabetes,3.0,3,3,3,wondering if there are any side effects to users?
27,Humalog U-100 Insulin Subcutaneous,8/31/2013,55-64,,10 years or more,Patient,Type 2 Diabetes Mellitus,4.0,4,4,4,"Humalog is a very good drug to control high blood sugar when used correctly.In my case, I rely on it to counteract overeating sweets, a mistake on my part."
28,Humalog U-100 Insulin Subcutaneous,2/17/2013,25-34,Female,1 to less than 2 years,Patient,Type 1 Diabetes Mellitus,2.0,2,3,1,"Have been type one since for 21 years, a pumper since 2010 with Novalog. Got laid off in 2011 and had to have bad insurance assistance that only covered Humalog. I had blurred vision after every bolus with normal BS for hours, nauseated, rapid heartbeat, dizziness, hard to breathe, fatigued, huge raw rash all over my shoulders, lost hair in huge amounts, thought I had cancer. Was not as effective as Novalog so I went into DKA twice in 3 months. Got good insurance so got my Novalog back. Will never take Humalog again. Read More Read Less  "
29,Humalog U-100 Insulin Subcutaneous,1/18/2013,45-54,Male,1 to less than 2 years,Patient,Type 2 Diabetes Mellitus,5.0,5,5,5,"Found out late in life that I was a diabetic, started out with Metformin and then quickly moved to pen form insulin. I hated having to do the four times a day shots along with six times a day finger pricks. My doctor suggested I think about using an insulin pump. I went to the required classes for the pump and got it. It is the best thing that has ever happened to me. I use about 200 units of humalog every other day. The average hourly dose is around 2.65 units. All I have to keep up with now is watching what I eat, and about twice a day finger sticks. Read More Read Less  "
30,Humalog U-100 Insulin Subcutaneous,1/8/2013,25-34,Male,10 years or more,Patient,Type 1 Diabetes Mellitus,4.7,5,4,5,
31,Humalog U-100 Insulin Subcutaneous,12/18/2012,65-74,Male,2 to less than 5 years,Patient,Diabetes,5.0,5,5,5,"I test my blood sugar before or after eating, and before bed. I often eat very little after breakfast until suppertime. I take Humalog only. I was taking Lantus, but it was not going to be covered by my Part D and I could not afford it on my own. I did not notice any difference in my glucose or my A1c. "
32,Humalog U-100 Insulin Subcutaneous,8/28/2012,65-74,Female,10 years or more,Patient,Diabetes,3.7,5,2,4,I've noticed that the bladder used in the Humalog vial is very thick.  I have bent several needles trying to insert them into the vial.  Can't find an answer anywhere.  Hope someone has an answer for me. 
33,Humalog U-100 Insulin Subcutaneous,8/22/2012,55-64,Male,,Patient,Diabetes,2.3,3,1,3,sometimes can't ever inject enough even though eating habits haven't changed from when I don't use nearly as much.
34,Humalog U-100 Insulin Subcutaneous,3/4/2012,35-44,Female,1 to 6 months,Patient,High Blood Sugar,5.0,5,5,5,I am finding that my sugar levels have dropped greatly. I couldn't keep them under 200 and now my average is 120s. this has been a life saver for me.
35,Humalog U-100 Insulin Subcutaneous,4/23/2011,35-44,Male,2 to less than 5 years,Patient,Type 2 Diabetes Mellitus,5.0,5,5,5,
36,Humalog U-100 Insulin Subcutaneous,4/22/2011,65-74,Male,less than 1 month,Patient,Type 2 Diabetes Mellitus,1.3,1,2,1,"Eyes!  It's the eyes!  Metformin blinded me--distorted view, severe photophobia.  Glipizide did the same, with the addition of angina. Dropped those for a couple months. Eyes still not so good, but better than with Metformin or Glipizide.  Now Humalog, 1 unit, under 200,0r 2 units over 200, with meals. One week later I'm having a hard time even reading this enlarged print. Safe dariving speed on open highway is 40mph or less. Eyes can't respond to light changes, everything in sunlight all washed out, sky white. These drugs lowered my blood sugar but this is one hell of a high price to pay for it.  I keep looking on the net for reference to these eye problems and can't find anything except ""blurry vision"" once in awhile.  Before these drugs, with my high blood sugar, I could see, with corrected lenses, perfectly.  Had trifocals, and don't like those, but they worked.  Now, they're useless and I have to use 2X reading glasses to read anything.  TV pictures dim, without detail unless I'm right up on the screen.  What the heck is this all about?  Am I the only person having this kind of trouble.  No help from doctors.  Opthalmologists just want to laser my eyes or inject experimental drugs.  What a way to go....Read More Read Less  "
37,Humalog U-100 Insulin Subcutaneous,10/4/2010,35-44,Female,1 to less than 2 years,,Type 1 Diabetes Mellitus,5.0,5,5,5,"Humalog works far better than my previous R insulin because it works more quickly. With R, I would inject just before a meal but would get post parandial highs that gave me a headache. It took 2.5 to 3 hours for R to start working. With Humalog, onset almost always cooincides with digestion so I get a better experience. I also end up with far fewer episodes of low blood sugar on Humalog than with R. My A1C has been in the low 6's since I started with Humalog where they had been in the low 7's with R. Read More Read Less  "
38,Humalog U-100 Insulin Subcutaneous,8/1/2010,45-54,Male,less than 1 month,Patient,Type 2 Diabetes Mellitus,5.0,5,5,5,"I use Humalog as a 'correction' medication.  Basically this means when my blood sugars are higher than usual, I bolus the dosage to bring levels back down.    My first time using it was last night when my 2 hour postprandial blood sugars jumped to 279. Within an hour after taking a shot, I dropped to 78. An hour and a half after that I was at 74.    I am EXTREMELY impressed as to how good this works for me. Only needed 3 units too.    Don't care for the 12mm needle. Will try the 8mm needle next time I am higher than usual.    I am hoping that between my diet and exercise, coupled with the Humalog, I can get even better blood sugars.    My last A1c about a week ago was 5.3, and that was with several spikes into the 200+ range, using diet and exercise alone. My goal is under 5.0 (4% club).    With this medication, I can vary my diet so it's not so boring, and not be forced to vigorously exercise as much to bring down blood sugars.    I am wondering something though:  Will I gain weight? Lose weight? Or maintain my weight when using any form of insulin?    Don't get me wrong. I am not opposed to 'paying the piper' (AKA exercising) after I eat. I have a lot of trouble fitting the needed time in to do it, and an even harder time getting back down to normal after a 200+ spike, using diet and exercise.    I generally have no trouble lowering my BS if I am 160-180 range, or less.    My fasting blood sugars are usually perfectly normal.    I can see some semblance of a life now that I have this medication. I won't do pills for my diabetes treatment as my blood sugars are usually well controlled. Seems heat & humidity (or a nap after eating) spikes me highly.    I really hope & pray that the endo will continue letting me have this medication.    I like it better than Humulin R which is slower.     Maybe get Humulin R for long digesting carbs like Dreamfields, and Humalog for the 'eat-N-go' carbs.    I'm not one to want meds of any kind, but this one really works for me!Read More Read Less  "
